Year,Subtopic,Count
2010,"""3303 Design""",2
2010,"""3304 Urban and Regional Planning""",1
2010,"""3403 Macromolecular and Materials Chemistry""",3
2010,"""3404 Medicinal and Biomolecular Chemistry""",2
2010,"""3504 Commercial Services""",1
2010,"""3701 Atmospheric Sciences""",1
2010,"""3703 Geochemistry""",3
2010,"""3705 Geology""",3
2010,"""3706 Geophysics""",2
2010,"""3707 Hydrology""",1
2010,"""3801 Applied Economics""",2
2010,"""3901 Curriculum and Pedagogy""",1
2010,"""3903 Education Systems""",1
2010,"""3904 Specialist Studies In Education""",1
2010,"""4001 Aerospace Engineering""",1
2010,"""4005 Civil Engineering""",1
2010,"""4007 Control Engineering, Mechatronics and Robotics""",1
2010,"""4009 Electronics, Sensors and Digital Hardware""",1
2010,"""4010 Engineering Practice and Education""",1
2010,"""4012 Fluid Mechanics and Thermal Engineering""",1
2010,"""4016 Materials Engineering""",4
2010,"""4018 Nanotechnology""",1
2010,"""4102 Ecological Applications""",1
2010,"""4104 Environmental Management""",2
2010,"""4105 Pollution and Contamination""",1
2010,"""4106 Soil Sciences""",2
2010,"""4302 Heritage, Archive and Museum Studies""",2
2010,"""4303 Historical Studies""",4
2010,"""4401 Anthropology""",1
2010,"""4402 Criminology""",1
2010,"""4404 Development Studies""",1
2010,"""4406 Human Geography""",1
2010,"""4407 Policy and Administration""",2
2010,"""4408 Political Science""",1
2010,"""4410 Sociology""",1
2010,"""4602 Artificial Intelligence""",1
2010,"""4604 Cybersecurity and Privacy""",1
2010,"""4606 Distributed Computing and Systems Software""",2
2010,"""4608 Human-Centred Computing""",1
2010,"""4610 Library and Information Studies""",1
2010,"""4613 Theory Of Computation""",1
2010,"""4701 Communication and Media Studies""",1
2010,"""4702 Cultural Studies""",2
2010,"""4705 Literary Studies""",1
2010,"""4805 Legal Systems""",1
2010,"""5002 History and Philosophy Of Specific Fields""",1
2010,"""5102 Atomic, Molecular and Optical Physics""",2
2010,"""5106 Nuclear and Plasma Physics""",4
2010,"""5107 Particle and High Energy Physics""",2
2010,"""5108 Quantum Physics""",1
2010,"""5109 Space Sciences""",1
2010,"""5110 Synchrotrons and Accelerators""",1
2011,"""3004 Crop and Pasture Production""",1
2011,"""3006 Food Sciences""",2
2011,"""3106 Industrial Biotechnology""",2
2011,"""3202 Clinical Sciences""",1
2011,"""3208 Medical Physiology""",1
2011,"""3302 Building""",2
2011,"""3304 Urban and Regional Planning""",1
2011,"""3403 Macromolecular and Materials Chemistry""",3
2011,"""3509 Transportation, Logistics and Supply Chains""",1
2011,"""3604 Performing Arts""",1
2011,"""3901 Curriculum and Pedagogy""",1
2011,"""3903 Education Systems""",1
2011,"""4001 Aerospace Engineering""",1
2011,"""4005 Civil Engineering""",3
2011,"""4007 Control Engineering, Mechatronics and Robotics""",1
2011,"""4014 Manufacturing Engineering""",1
2011,"""4016 Materials Engineering""",2
2011,"""4018 Nanotechnology""",2
2011,"""4104 Environmental Management""",1
2011,"""4201 Allied Health and Rehabilitation Science""",1
2011,"""4303 Historical Studies""",1
2011,"""4602 Artificial Intelligence""",2
2011,"""4605 Data Management and Data Science""",1
2011,"""4606 Distributed Computing and Systems Software""",1
2011,"""4608 Human-Centred Computing""",1
2011,"""4610 Library and Information Studies""",1
2011,"""4705 Literary Studies""",1
2011,"""4803 International and Comparative Law""",1
2012,"""3002 Agriculture, Land and Farm Management""",1
2012,"""3004 Crop and Pasture Production""",2
2012,"""3006 Food Sciences""",2
2012,"""3008 Horticultural Production""",1
2012,"""3009 Veterinary Sciences""",1
2012,"""3102 Bioinformatics and Computational Biology""",1
2012,"""3103 Ecology""",1
2012,"""3105 Genetics""",5
2012,"""3106 Industrial Biotechnology""",2
2012,"""3107 Microbiology""",1
2012,"""3108 Plant Biology""",1
2012,"""3202 Clinical Sciences""",2
2012,"""3205 Medical Biochemistry and Metabolomics""",2
2012,"""3206 Medical Biotechnology""",2
2012,"""3208 Medical Physiology""",1
2012,"""3209 Neurosciences""",1
2012,"""3210 Nutrition and Dietetics""",1
2012,"""3211 Oncology and Carcinogenesis""",2
2012,"""3214 Pharmacology and Pharmaceutical Sciences""",2
2012,"""3301 Architecture""",1
2012,"""3302 Building""",2
2012,"""3401 Analytical Chemistry""",1
2012,"""3403 Macromolecular and Materials Chemistry""",2
2012,"""3404 Medicinal and Biomolecular Chemistry""",1
2012,"""3405 Organic Chemistry""",1
2012,"""3406 Physical Chemistry""",2
2012,"""3502 Banking, Finance and Investment""",2
2012,"""3505 Human Resources and Industrial Relations""",1
2012,"""3507 Strategy, Management and Organisational Behaviour""",1
2012,"""3703 Geochemistry""",1
2012,"""3704 Geoinformatics""",1
2012,"""3705 Geology""",1
2012,"""3706 Geophysics""",1
2012,"""3801 Applied Economics""",2
2012,"""4003 Biomedical Engineering""",2
2012,"""4005 Civil Engineering""",1
2012,"""4009 Electronics, Sensors and Digital Hardware""",1
2012,"""4203 Health Services and Systems""",1
2012,"""4206 Public Health""",1
2012,"""4207 Sports Science and Exercise""",1
2012,"""4901 Applied Mathematics""",2
2012,"""4904 Pure Mathematics""",2
2012,"""5002 History and Philosophy Of Specific Fields""",1
2012,"""5101 Astronomical Sciences""",1
2012,"""5106 Nuclear and Plasma Physics""",1
2012,"""5107 Particle and High Energy Physics""",1
2012,"""5110 Synchrotrons and Accelerators""",1
2012,"""5202 Biological Psychology""",1
2013,"""3101 Biochemistry and Cell Biology""",1
2013,"""3105 Genetics""",1
2013,"""3106 Industrial Biotechnology""",2
2013,"""3107 Microbiology""",1
2013,"""3204 Immunology""",2
2013,"""3207 Medical Microbiology""",2
2013,"""3210 Nutrition and Dietetics""",1
2013,"""3301 Architecture""",1
2013,"""3302 Building""",1
2013,"""3403 Macromolecular and Materials Chemistry""",4
2013,"""3406 Physical Chemistry""",1
2013,"""3502 Banking, Finance and Investment""",1
2013,"""3507 Strategy, Management and Organisational Behaviour""",1
2013,"""3603 Music""",2
2013,"""3901 Curriculum and Pedagogy""",1
2013,"""3903 Education Systems""",1
2013,"""4005 Civil Engineering""",1
2013,"""4014 Manufacturing Engineering""",1
2013,"""4016 Materials Engineering""",2
2013,"""4102 Ecological Applications""",1
2013,"""4405 Gender Studies""",1
2013,"""4407 Policy and Administration""",1
2013,"""4602 Artificial Intelligence""",1
2013,"""4610 Library and Information Studies""",1
2013,"""4612 Software Engineering""",1
2013,"""4702 Cultural Studies""",1
2013,"""4705 Literary Studies""",1
2014,"""3002 Agriculture, Land and Farm Management""",2
2014,"""3004 Crop and Pasture Production""",2
2014,"""3101 Biochemistry and Cell Biology""",1
2014,"""3102 Bioinformatics and Computational Biology""",1
2014,"""3105 Genetics""",3
2014,"""3302 Building""",1
2014,"""3902 Education Policy, Sociology and Philosophy""",1
2014,"""3903 Education Systems""",2
2014,"""4001 Aerospace Engineering""",2
2014,"""4010 Engineering Practice and Education""",1
2014,"""4014 Manufacturing Engineering""",1
2014,"""4101 Climate Change Impacts and Adaptation""",1
2014,"""4104 Environmental Management""",1
2014,"""4203 Health Services and Systems""",2
2014,"""4604 Cybersecurity and Privacy""",1
2014,"""4605 Data Management and Data Science""",2
2014,"""4606 Distributed Computing and Systems Software""",1
2014,"""4609 Information Systems""",1
2014,"""4610 Library and Information Studies""",1
2014,"""4901 Applied Mathematics""",1
2014,"""4903 Numerical and Computational Mathematics""",1
2015,"""3003 Animal Production""",1
2015,"""3006 Food Sciences""",1
2015,"""3008 Horticultural Production""",1
2015,"""3101 Biochemistry and Cell Biology""",3
2015,"""3103 Ecology""",1
2015,"""3105 Genetics""",5
2015,"""3202 Clinical Sciences""",3
2015,"""3204 Immunology""",3
2015,"""3205 Medical Biochemistry and Metabolomics""",1
2015,"""3206 Medical Biotechnology""",1
2015,"""3207 Medical Microbiology""",1
2015,"""3208 Medical Physiology""",4
2015,"""3211 Oncology and Carcinogenesis""",5
2015,"""3212 Ophthalmology and Optometry""",1
2015,"""3213 Paediatrics""",1
2015,"""3214 Pharmacology and Pharmaceutical Sciences""",3
2015,"""3302 Building""",1
2015,"""3403 Macromolecular and Materials Chemistry""",2
2015,"""3404 Medicinal and Biomolecular Chemistry""",2
2015,"""3406 Physical Chemistry""",1
2015,"""3507 Strategy, Management and Organisational Behaviour""",1
2015,"""3601 Art History, Theory and Criticism""",1
2015,"""3702 Climate Change Science""",1
2015,"""3703 Geochemistry""",1
2015,"""3705 Geology""",3
2015,"""3706 Geophysics""",1
2015,"""3707 Hydrology""",1
2015,"""3709 Physical Geography and Environmental Geoscience""",1
2015,"""3801 Applied Economics""",2
2015,"""3903 Education Systems""",1
2015,"""4001 Aerospace Engineering""",1
2015,"""4005 Civil Engineering""",1
2015,"""4008 Electrical Engineering""",2
2015,"""4016 Materials Engineering""",2
2015,"""4019 Resources Engineering and Extractive Metallurgy""",1
2015,"""4101 Climate Change Impacts and Adaptation""",1
2015,"""4203 Health Services and Systems""",2
2015,"""4206 Public Health""",1
2015,"""4302 Heritage, Archive and Museum Studies""",5
2015,"""4303 Historical Studies""",7
2015,"""4403 Demography""",1
2015,"""4406 Human Geography""",1
2015,"""4407 Policy and Administration""",2
2015,"""4408 Political Science""",3
2015,"""4601 Applied Computing""",1
2015,"""4602 Artificial Intelligence""",2
2015,"""4604 Cybersecurity and Privacy""",1
2015,"""4608 Human-Centred Computing""",1
2015,"""4612 Software Engineering""",1
2015,"""4702 Cultural Studies""",1
2015,"""4703 Language Studies""",1
2015,"""4704 Linguistics""",2
2015,"""4705 Literary Studies""",4
2015,"""4807 Public Law""",1
2015,"""4901 Applied Mathematics""",1
2015,"""4903 Numerical and Computational Mathematics""",1
2015,"""4904 Pure Mathematics""",3
2015,"""5002 History and Philosophy Of Specific Fields""",2
2015,"""5102 Atomic, Molecular and Optical Physics""",1
2015,"""5105 Medical and Biological Physics""",1
2015,"""5106 Nuclear and Plasma Physics""",1
2015,"""5108 Quantum Physics""",2
2015,"""5110 Synchrotrons and Accelerators""",1
2015,"""5202 Biological Psychology""",1
2015,"""5204 Cognitive and Computational Psychology""",1
2016,"""3004 Crop and Pasture Production""",1
2016,"""3008 Horticultural Production""",1
2016,"""3102 Bioinformatics and Computational Biology""",1
2016,"""3105 Genetics""",1
2016,"""3106 Industrial Biotechnology""",2
2016,"""3107 Microbiology""",1
2016,"""3202 Clinical Sciences""",1
2016,"""3211 Oncology and Carcinogenesis""",1
2016,"""3403 Macromolecular and Materials Chemistry""",4
2016,"""3405 Organic Chemistry""",1
2016,"""3507 Strategy, Management and Organisational Behaviour""",1
2016,"""3708 Oceanography""",1
2016,"""4001 Aerospace Engineering""",2
2016,"""4002 Automotive Engineering""",1
2016,"""4005 Civil Engineering""",3
2016,"""4015 Maritime Engineering""",1
2016,"""4016 Materials Engineering""",3
2016,"""4017 Mechanical Engineering""",1
2016,"""4018 Nanotechnology""",1
2016,"""4104 Environmental Management""",2
2016,"""4203 Health Services and Systems""",2
2016,"""4301 Archaeology""",1
2016,"""4303 Historical Studies""",1
2016,"""4406 Human Geography""",1
2016,"""4602 Artificial Intelligence""",1
2016,"""4605 Data Management and Data Science""",1
2016,"""4802 Environmental and Resources Law""",1
2016,"""5102 Atomic, Molecular and Optical Physics""",1
2016,"""5104 Condensed Matter Physics""",1
2016,"""5108 Quantum Physics""",1
2016,"""5109 Space Sciences""",1
2016,"""5110 Synchrotrons and Accelerators""",1
2017,"""3001 Agricultural Biotechnology""",3
2017,"""3002 Agriculture, Land and Farm Management""",2
2017,"""3004 Crop and Pasture Production""",4
2017,"""3006 Food Sciences""",2
2017,"""3008 Horticultural Production""",3
2017,"""3101 Biochemistry and Cell Biology""",12
2017,"""3103 Ecology""",4
2017,"""3104 Evolutionary Biology""",2
2017,"""3105 Genetics""",1
2017,"""3106 Industrial Biotechnology""",1
2017,"""3107 Microbiology""",1
2017,"""3109 Zoology""",2
2017,"""3201 Cardiovascular Medicine and Haematology""",1
2017,"""3202 Clinical Sciences""",6
2017,"""3204 Immunology""",7
2017,"""3205 Medical Biochemistry and Metabolomics""",2
2017,"""3206 Medical Biotechnology""",5
2017,"""3207 Medical Microbiology""",2
2017,"""3208 Medical Physiology""",1
2017,"""3209 Neurosciences""",1
2017,"""3210 Nutrition and Dietetics""",1
2017,"""3211 Oncology and Carcinogenesis""",10
2017,"""3212 Ophthalmology and Optometry""",2
2017,"""3214 Pharmacology and Pharmaceutical Sciences""",2
2017,"""3215 Reproductive Medicine""",3
2017,"""3301 Architecture""",1
2017,"""3302 Building""",1
2017,"""3304 Urban and Regional Planning""",1
2017,"""3402 Inorganic Chemistry""",3
2017,"""3403 Macromolecular and Materials Chemistry""",5
2017,"""3404 Medicinal and Biomolecular Chemistry""",7
2017,"""3405 Organic Chemistry""",1
2017,"""3406 Physical Chemistry""",2
2017,"""3502 Banking, Finance and Investment""",1
2017,"""3505 Human Resources and Industrial Relations""",1
2017,"""3509 Transportation, Logistics and Supply Chains""",1
2017,"""3602 Creative and Professional Writing""",3
2017,"""3604 Performing Arts""",1
2017,"""3705 Geology""",6
2017,"""3706 Geophysics""",1
2017,"""3709 Physical Geography and Environmental Geoscience""",1
2017,"""3801 Applied Economics""",2
2017,"""3902 Education Policy, Sociology and Philosophy""",1
2017,"""3903 Education Systems""",1
2017,"""4001 Aerospace Engineering""",3
2017,"""4003 Biomedical Engineering""",3
2017,"""4005 Civil Engineering""",3
2017,"""4006 Communications Engineering""",1
2017,"""4007 Control Engineering, Mechatronics and Robotics""",4
2017,"""4012 Fluid Mechanics and Thermal Engineering""",1
2017,"""4014 Manufacturing Engineering""",3
2017,"""4016 Materials Engineering""",2
2017,"""4017 Mechanical Engineering""",1
2017,"""4018 Nanotechnology""",2
2017,"""4101 Climate Change Impacts and Adaptation""",3
2017,"""4105 Pollution and Contamination""",2
2017,"""4206 Public Health""",1
2017,"""4302 Heritage, Archive and Museum Studies""",4
2017,"""4303 Historical Studies""",3
2017,"""4402 Criminology""",1
2017,"""4403 Demography""",1
2017,"""4406 Human Geography""",2
2017,"""4407 Policy and Administration""",2
2017,"""4408 Political Science""",4
2017,"""4410 Sociology""",1
2017,"""4602 Artificial Intelligence""",2
2017,"""4604 Cybersecurity and Privacy""",1
2017,"""4605 Data Management and Data Science""",1
2017,"""4608 Human-Centred Computing""",1
2017,"""4611 Machine Learning""",1
2017,"""4703 Language Studies""",1
2017,"""4704 Linguistics""",2
2017,"""4705 Literary Studies""",4
2017,"""4801 Commercial Law""",1
2017,"""4802 Environmental and Resources Law""",2
2017,"""4804 Law In Context""",1
2017,"""4805 Legal Systems""",1
2017,"""4806 Private Law and Civil Obligations""",1
2017,"""4807 Public Law""",1
2017,"""4901 Applied Mathematics""",7
2017,"""4903 Numerical and Computational Mathematics""",1
2017,"""4904 Pure Mathematics""",1
2017,"""4905 Statistics""",1
2017,"""5002 History and Philosophy Of Specific Fields""",2
2017,"""5101 Astronomical Sciences""",4
2017,"""5103 Classical Physics""",1
2017,"""5106 Nuclear and Plasma Physics""",3
2017,"""5107 Particle and High Energy Physics""",3
2017,"""5108 Quantum Physics""",1
2017,"""5202 Biological Psychology""",2
2018,"""3004 Crop and Pasture Production""",3
2018,"""3103 Ecology""",1
2018,"""3105 Genetics""",2
2018,"""3204 Immunology""",1
2018,"""3206 Medical Biotechnology""",1
2018,"""3214 Pharmacology and Pharmaceutical Sciences""",1
2018,"""3301 Architecture""",1
2018,"""3302 Building""",1
2018,"""3402 Inorganic Chemistry""",1
2018,"""3403 Macromolecular and Materials Chemistry""",1
2018,"""3701 Atmospheric Sciences""",1
2018,"""3704 Geoinformatics""",1
2018,"""3904 Specialist Studies In Education""",1
2018,"""4001 Aerospace Engineering""",1
2018,"""4004 Chemical Engineering""",1
2018,"""4005 Civil Engineering""",1
2018,"""4008 Electrical Engineering""",1
2018,"""4014 Manufacturing Engineering""",1
2018,"""4015 Maritime Engineering""",1
2018,"""4105 Pollution and Contamination""",1
2018,"""4303 Historical Studies""",1
2018,"""4606 Distributed Computing and Systems Software""",1
2018,"""4702 Cultural Studies""",1
2018,"""5002 History and Philosophy Of Specific Fields""",1
2018,"""5003 Philosophy""",1
2018,"""5202 Biological Psychology""",2
2019,"""3006 Food Sciences""",2
2019,"""3101 Biochemistry and Cell Biology""",2
2019,"""3107 Microbiology""",1
2019,"""3202 Clinical Sciences""",1
2019,"""3206 Medical Biotechnology""",1
2019,"""3403 Macromolecular and Materials Chemistry""",2
2019,"""3404 Medicinal and Biomolecular Chemistry""",1
2019,"""3406 Physical Chemistry""",1
2019,"""3507 Strategy, Management and Organisational Behaviour""",1
2019,"""3509 Transportation, Logistics and Supply Chains""",1
2019,"""4001 Aerospace Engineering""",1
2019,"""4002 Automotive Engineering""",1
2019,"""4005 Civil Engineering""",1
2019,"""4014 Manufacturing Engineering""",1
2019,"""4016 Materials Engineering""",1
2019,"""4017 Mechanical Engineering""",1
2019,"""4203 Health Services and Systems""",1
2019,"""4406 Human Geography""",1
2019,"""4609 Information Systems""",1
2020,"""3006 Food Sciences""",1
2020,"""3008 Horticultural Production""",3
2020,"""3101 Biochemistry and Cell Biology""",9
2020,"""3102 Bioinformatics and Computational Biology""",3
2020,"""3103 Ecology""",1
2020,"""3105 Genetics""",4
2020,"""3106 Industrial Biotechnology""",2
2020,"""3107 Microbiology""",3
2020,"""3108 Plant Biology""",1
2020,"""3202 Clinical Sciences""",3
2020,"""3203 Dentistry""",1
2020,"""3204 Immunology""",4
2020,"""3205 Medical Biochemistry and Metabolomics""",1
2020,"""3206 Medical Biotechnology""",1
2020,"""3207 Medical Microbiology""",2
2020,"""3208 Medical Physiology""",2
2020,"""3209 Neurosciences""",1
2020,"""3211 Oncology and Carcinogenesis""",17
2020,"""3301 Architecture""",1
2020,"""3302 Building""",3
2020,"""3304 Urban and Regional Planning""",1
2020,"""3401 Analytical Chemistry""",1
2020,"""3403 Macromolecular and Materials Chemistry""",1
2020,"""3404 Medicinal and Biomolecular Chemistry""",4
2020,"""3406 Physical Chemistry""",1
2020,"""3407 Theoretical and Computational Chemistry""",1
2020,"""3502 Banking, Finance and Investment""",1
2020,"""3507 Strategy, Management and Organisational Behaviour""",2
2020,"""3701 Atmospheric Sciences""",1
2020,"""3705 Geology""",1
2020,"""3709 Physical Geography and Environmental Geoscience""",1
2020,"""3801 Applied Economics""",1
2020,"""3803 Economic Theory""",1
2020,"""3904 Specialist Studies In Education""",1
2020,"""4001 Aerospace Engineering""",4
2020,"""4003 Biomedical Engineering""",2
2020,"""4005 Civil Engineering""",1
2020,"""4007 Control Engineering, Mechatronics and Robotics""",1
2020,"""4010 Engineering Practice and Education""",1
2020,"""4011 Environmental Engineering""",1
2020,"""4012 Fluid Mechanics and Thermal Engineering""",1
2020,"""4014 Manufacturing Engineering""",1
2020,"""4015 Maritime Engineering""",1
2020,"""4105 Pollution and Contamination""",1
2020,"""4207 Sports Science and Exercise""",1
2020,"""4301 Archaeology""",1
2020,"""4303 Historical Studies""",4
2020,"""4404 Development Studies""",1
2020,"""4406 Human Geography""",1
2020,"""4410 Sociology""",1
2020,"""4602 Artificial Intelligence""",2
2020,"""4608 Human-Centred Computing""",1
2020,"""4609 Information Systems""",1
2020,"""4901 Applied Mathematics""",2
2020,"""4904 Pure Mathematics""",1
2020,"""5101 Astronomical Sciences""",1
2020,"""5102 Atomic, Molecular and Optical Physics""",1
2020,"""5104 Condensed Matter Physics""",1
2020,"""5106 Nuclear and Plasma Physics""",2
2020,"""5108 Quantum Physics""",1
2020,"""5110 Synchrotrons and Accelerators""",1
2020,"""5202 Biological Psychology""",2
2020,"""5203 Clinical and Health Psychology""",1
2021,"""3009 Veterinary Sciences""",1
2021,"""3101 Biochemistry and Cell Biology""",6
2021,"""3102 Bioinformatics and Computational Biology""",1
2021,"""3105 Genetics""",1
2021,"""3202 Clinical Sciences""",1
2021,"""3203 Dentistry""",1
2021,"""3204 Immunology""",1
2021,"""3205 Medical Biochemistry and Metabolomics""",1
2021,"""3206 Medical Biotechnology""",1
2021,"""3207 Medical Microbiology""",1
2021,"""3211 Oncology and Carcinogenesis""",1
2021,"""3212 Ophthalmology and Optometry""",1
2021,"""3302 Building""",3
2021,"""3401 Analytical Chemistry""",1
2021,"""3403 Macromolecular and Materials Chemistry""",2
2021,"""3404 Medicinal and Biomolecular Chemistry""",1
2021,"""3406 Physical Chemistry""",2
2021,"""3506 Marketing""",1
2021,"""3508 Tourism""",1
2021,"""3705 Geology""",1
2021,"""3904 Specialist Studies In Education""",1
2021,"""4002 Automotive Engineering""",1
2021,"""4003 Biomedical Engineering""",1
2021,"""4005 Civil Engineering""",1
2021,"""4008 Electrical Engineering""",1
2021,"""4014 Manufacturing Engineering""",2
2021,"""4016 Materials Engineering""",2
2021,"""4017 Mechanical Engineering""",1
2021,"""4203 Health Services and Systems""",2
2021,"""4302 Heritage, Archive and Museum Studies""",1
2021,"""4406 Human Geography""",1
2021,"""4602 Artificial Intelligence""",2
2021,"""4608 Human-Centred Computing""",1
2021,"""4610 Library and Information Studies""",1
2021,"""4612 Software Engineering""",1
2022,"""3008 Horticultural Production""",1
2022,"""3101 Biochemistry and Cell Biology""",3
2022,"""3102 Bioinformatics and Computational Biology""",3
2022,"""3103 Ecology""",2
2022,"""3105 Genetics""",1
2022,"""3107 Microbiology""",1
2022,"""3202 Clinical Sciences""",2
2022,"""3204 Immunology""",2
2022,"""3205 Medical Biochemistry and Metabolomics""",1
2022,"""3206 Medical Biotechnology""",2
2022,"""3211 Oncology and Carcinogenesis""",4
2022,"""3406 Physical Chemistry""",2
2022,"""3505 Human Resources and Industrial Relations""",1
2022,"""3507 Strategy, Management and Organisational Behaviour""",1
2022,"""3605 Screen and Digital Media""",1
2022,"""3704 Geoinformatics""",1
2022,"""4004 Chemical Engineering""",1
2022,"""4005 Civil Engineering""",1
2022,"""4009 Electronics, Sensors and Digital Hardware""",1
2022,"""4015 Maritime Engineering""",1
2022,"""4016 Materials Engineering""",1
2022,"""4101 Climate Change Impacts and Adaptation""",2
2022,"""4102 Ecological Applications""",1
2022,"""4104 Environmental Management""",2
2022,"""4203 Health Services and Systems""",1
2022,"""4604 Cybersecurity and Privacy""",1
2022,"""4605 Data Management and Data Science""",1
2022,"""4606 Distributed Computing and Systems Software""",1
2022,"""4608 Human-Centred Computing""",1
2022,"""4802 Environmental and Resources Law""",1
2022,"""4803 International and Comparative Law""",1
2022,"""5002 History and Philosophy Of Specific Fields""",2
2022,"""5102 Atomic, Molecular and Optical Physics""",1
2022,"""5108 Quantum Physics""",1
2022,"""5202 Biological Psychology""",1
2023,"""3101 Biochemistry and Cell Biology""",1
2023,"""3105 Genetics""",1
2023,"""3204 Immunology""",1
2023,"""3210 Nutrition and Dietetics""",1
2023,"""3404 Medicinal and Biomolecular Chemistry""",1
2023,"""3705 Geology""",1
2023,"""4001 Aerospace Engineering""",1
2023,"""4008 Electrical Engineering""",2
2023,"""4009 Electronics, Sensors and Digital Hardware""",2
2023,"""4101 Climate Change Impacts and Adaptation""",1
2023,"""4102 Ecological Applications""",1
2023,"""4104 Environmental Management""",3
2023,"""4106 Soil Sciences""",1
2023,"""4206 Public Health""",1
2023,"""4410 Sociology""",1
2023,"""4602 Artificial Intelligence""",1
2023,"""4607 Graphics, Augmented Reality and Games""",1
2023,"""4608 Human-Centred Computing""",1
2023,"""4803 International and Comparative Law""",1
2023,"""4904 Pure Mathematics""",1